raffeld_treatment,source_treatment,calval_treatment_id,plot,campaign,SOC_stock_0_30cm_Mg_C_ha,method,source_file
RW + WCC,RWL,rf_wheat_legume,7_3,2012,38.056,"fixed depth, sum of 0-15 and 15-30 increments",Davis_wheat_data.xlsx
RW + WCC,RWL,rf_wheat_legume,8_1,1993,38.559,"fixed depth, sum of 0-15 and 15-30 increments",Davis_wheat_data.xlsx
RW + WCC,RWL,rf_wheat_legume,8_1,2012,36.096,"fixed depth, sum of 0-15 and 15-30 increments",Davis_wheat_data.xlsx
CMT,CMT,conv_corn_tomato,1_3,1993,45.562,"fixed depth, sum of 0-15 and 15-30 increments",Davis_maize_data.xlsx
CMT,CMT,conv_corn_tomato,1_3,2012,43.769,"fixed depth, sum of 0-15 and 15-30 increments",Davis_maize_data.xlsx
CMT,CMT,conv_corn_tomato,1_4,1993,44.222,"fixed depth, sum of 0-15 and 15-30 increments",Davis_maize_data.xlsx
CMT,CMT,conv_corn_tomato,1_4,2012,36.56,"fixed depth, sum of 0-15 and 15-30 increments",Davis_maize_data.xlsx
CMT,CMT,conv_corn_tomato,4_5,1993,37.507,"fixed depth, sum of 0-15 and 15-30 increments",Davis_maize_data.xlsx
CMT,CMT,conv_corn_tomato,4_5,2012,36.355,"fixed depth, sum of 0-15 and 15-30 increments",Davis_maize_data.xlsx
CMT,CMT,conv_corn_tomato,5_5,1993,41.33,"fixed depth, sum of 0-15 and 15-30 increments",Davis_maize_data.xlsx
CMT,CMT,conv_corn_tomato,5_5,2012,32.777,"fixed depth, sum of 0-15 and 15-30 increments",Davis_maize_data.xlsx
CMT,CMT,conv_corn_tomato,7_8,1993,44.454,"fixed depth, sum of 0-15 and 15-30 increments",Davis_maize_data.xlsx
CMT,CMT,conv_corn_tomato,7_8,2012,34.921,"fixed depth, sum of 0-15 and 15-30 increments",Davis_maize_data.xlsx
CMT,CMT,conv_corn_tomato,8_9,1993,37.877,"fixed depth, sum of 0-15 and 15-30 increments",Davis_maize_data.xlsx
CMT,CMT,conv_corn_tomato,8_9,2012,38.021,"fixed depth, sum of 0-15 and 15-30 increments",Davis_maize_data.xlsx
CMT + WCC,LMT,leg_corn_tomato,1_1,1993,46.805,"fixed depth, sum of 0-15 and 15-30 increments",Davis_maize_data.xlsx
CMT + WCC,LMT,leg_corn_tomato,1_1,2012,41.42,"fixed depth, sum of 0-15 and 15-30 increments",Davis_maize_data.xlsx
CMT + WCC,LMT,leg_corn_tomato,2_4,1993,32.932,"fixed depth, sum of 0-15 and 15-30 increments",Davis_maize_data.xlsx
CMT + WCC,LMT,leg_corn_tomato,2_4,2012,30.06,"fixed depth, sum of 0-15 and 15-30 increments",Davis_maize_data.xlsx
CMT + WCC,LMT,leg_corn_tomato,4_4,1993,34.523,"fixed depth, sum of 0-15 and 15-30 increments",Davis_maize_data.xlsx
CMT + WCC,LMT,leg_corn_tomato,4_4,2012,33.135,"fixed depth, sum of 0-15 and 15-30 increments",Davis_maize_data.xlsx
CMT + WCC,LMT,leg_corn_tomato,6_3,1993,39.569,"fixed depth, sum of 0-15 and 15-30 increments",Davis_maize_data.xlsx
CMT + WCC,LMT,leg_corn_tomato,6_3,2012,45.438,"fixed depth, sum of 0-15 and 15-30 increments",Davis_maize_data.xlsx
CMT + WCC,LMT,leg_corn_tomato,6_7,1993,38.887,"fixed depth, sum of 0-15 and 15-30 increments",Davis_maize_data.xlsx
CMT + WCC,LMT,leg_corn_tomato,6_7,2012,45.258,"fixed depth, sum of 0-15 and 15-30 increments",Davis_maize_data.xlsx
CMT + WCC,LMT,leg_corn_tomato,6_9,1993,45.747,"fixed depth, sum of 0-15 and 15-30 increments",Davis_maize_data.xlsx
CMT + WCC,LMT,leg_corn_tomato,6_9,2012,40.323,"fixed depth, sum of 0-15 and 15-30 increments",Davis_maize_data.xlsx
OMT,OMTF,org_corn_tomato,1_2W,1993,44.98,"fixed depth, sum of 0-15 and 15-30 increments",Davis_maize_data.xlsx
OMT,OMTF,org_corn_tomato,1_2W,2012,54.32,"fixed depth, sum of 0-15 and 15-30 increments",Davis_maize_data.xlsx
OMT,OMTF,org_corn_tomato,2_3W,1993,34.777,"fixed depth, sum of 0-15 and 15-30 increments",Davis_maize_data.xlsx
OMT,OMTF,org_corn_tomato,2_3W,2012,44.543,"fixed depth, sum of 0-15 and 15-30 increments",Davis_maize_data.xlsx
OMT,OMTF,org_corn_tomato,6_4W,1993,45.363,"fixed depth, sum of 0-15 and 15-30 increments",Davis_maize_data.xlsx
OMT,OMTF,org_corn_tomato,6_4W,2012,52.692,"fixed depth, sum of 0-15 and 15-30 increments",Davis_maize_data.xlsx
OMT,OMTF,org_corn_tomato,6_5W,1993,41.828,"fixed depth, sum of 0-15 and 15-30 increments",Davis_maize_data.xlsx
OMT,OMTF,org_corn_tomato,6_5W,2012,50.095,"fixed depth, sum of 0-15 and 15-30 increments",Davis_maize_data.xlsx
OMT,OMTF,org_corn_tomato,6_8W,1993,47.373,"fixed depth, sum of 0-15 and 15-30 increments",Davis_maize_data.xlsx
OMT,OMTF,org_corn_tomato,6_8W,2012,49.142,"fixed depth, sum of 0-15 and 15-30 increments",Davis_maize_data.xlsx
OMT,OMTF,org_corn_tomato,8_8E,1993,37.866,"fixed depth, sum of 0-15 and 15-30 increments",Davis_maize_data.xlsx
OMT,OMTF,org_corn_tomato,8_8E,2012,40.941,"fixed depth, sum of 0-15 and 15-30 increments",Davis_maize_data.xlsx
